feature_name,fi_all,fi_dynamic,fi_standing,fi_sitting,fi_laying,fi_walking_up,fi_walking_down
tBodyAcc-mean()-X,0.0,0.00032654207769201193,0.0004500950666752768,0.00035256842793624806,0.0003957721869576334,0.00036762401404607684,0.00040118011220037107
tBodyAcc-mean()-Y,0.0,6.190315833662476e-05,0.0007195827669131822,0.0005450971964050651,0.0002941274951351439,0.0006945119329230284,0.00041215282496492113
tBodyAcc-mean()-Z,0.0,0.00013680374192683538,0.00013148349877505224,0.0003617269651750381,7.78743113156142e-06,0.00033446744333381754,0.000218971668589105
tBodyAcc-std()-X,0.0,0.002283058296864874,0.005706381585558399,0.001893899975317829,0.0006540277596628455,0.006789877722658562,0.025705475956485185
tBodyAcc-std()-Y,0.0,0.00021149272330156274,0.0021159882437827176,0.00037133147138850145,0.0,0.00016726456128555905,0.0013714737204558157
tBodyAcc-std()-Z,0.0,0.0002387125238171819,0.00043398437121943545,0.0005505250635798901,0.00038418653211692746,0.002104604544373318,0.0005671959846822662
tBodyAcc-mad()-X,0.0,0.003709157364494993,0.005057050295505872,0.00172355789656053,0.0012164546905795567,0.0037215818950614736,0.00867320326768652
tBodyAcc-mad()-Y,0.0,0.00048130099744794123,0.0007325131850514935,0.00017640231834187902,1.4033301246609017e-05,0.0003743606120908286,0.0019769421212992347
tBodyAcc-mad()-Z,0.0,0.0003148823623928341,0.0005569131986021747,0.0009082456616684817,1.2755038798125783e-05,0.003031747645681354,0.0002817466839417249
tBodyAcc-max()-X,0.0,0.005762615656660213,0.00020790537652388258,0.0010636475723527228,0.0014359528218275024,0.0018459777802932562,0.019844306842284373
tBodyAcc-max()-Y,0.0,0.0,0.00030160513367240375,0.00045703611362755666,7.801817575611429e-05,0.00035716546143617426,0.0006493889300877836
tBodyAcc-max()-Z,0.0,0.00015230378671979056,0.0007739818434160199,0.0003664629623958297,1.2991464645603827e-05,0.0002911232559910672,9.385703100217718e-05
tBodyAcc-min()-X,0.0,0.0011648105671104607,0.0007113345627989025,0.0005339061709079609,0.000682294581100824,0.0006910682865981865,0.00040568527767347615
tBodyAcc-min()-Y,0.0,0.00020266632466112004,0.0003338707898541751,0.00037446783035553473,0.0,0.0001662429326615437,0.00021426604691722882
tBodyAcc-min()-Z,0.0,0.00023395914381911894,0.0004979198235719698,0.0006978241561092037,0.0,0.0013531391200490115,0.00015680215002948072
tBodyAcc-sma(),0.0,0.0031628984922947444,0.0022662073671406015,0.00031270506561098326,0.00020349177699068667,0.0030019906948253383,0.008780401590071282
tBodyAcc-energy()-X,0.0,0.007920489564338114,0.007211559126536212,0.0015224935512752715,0.00017974935947209395,0.0037962602796285253,0.016969833028720308
tBodyAcc-energy()-Y,0.0,0.00010931470214118777,0.0023017918442240835,0.00021383126509368858,1.7598617811267592e-05,0.00023080430116948294,0.0013960683439629502
tBodyAcc-energy()-Z,0.0,0.0003688133650764847,0.0004318015595019532,0.00030089849136725344,0.001055558271904826,0.0012087900032872491,0.0001976073212153028
tBodyAcc-iqr()-X,0.0,0.000773055775741897,0.007110793530309318,0.002122185223833599,0.001216513858217067,0.0001703907697136012,0.008903695452876293
tBodyAcc-iqr()-Y,0.0,0.0002071560952427967,0.002236438869193377,0.0008665532721064677,8.945827504844624e-05,0.0004979666607947221,0.0011125877728911757
tBodyAcc-iqr()-Z,0.0,0.000244724217635638,0.0003227919625442746,0.0007365117878411914,1.6237200722973054e-05,0.0009021630472896783,5.923257128709316e-05
tBodyAcc-entropy()-X,0.0,0.001204009758849599,0.00013657087614293983,0.0038030648825555648,0.0004916941520793077,0.001400660778597439,0.004318506037622786
tBodyAcc-entropy()-Y,0.0,0.000338721139530409,0.00022864199630544865,0.0005145054877655854,0.0,0.00042379347531879295,9.047730645082715e-05
tBodyAcc-entropy()-Z,0.0,6.35352397132511e-05,0.0002540326738284658,0.00041600057987939,0.00011302462014388224,0.000888796863647403,5.098690771857805e-05
"tBodyAcc-arCoeff()-X,1",0.0,0.00021091177848794223,0.0007900218755366186,0.0002542217242194973,0.0,0.0005282318640089364,0.0001604206476988469
"tBodyAcc-arCoeff()-X,2",0.0,0.00016846429056974514,0.00017035415214955535,0.00046208324351547413,1.4318030282273536e-05,0.00018429915575125862,0.0002573742761627477
"tBodyAcc-arCoeff()-X,3",0.0,9.318831665023735e-05,0.00014426857615245915,0.00018507765090425407,4.921868312843174e-05,0.00019501801578581754,0.00020432975445003077
"tBodyAcc-arCoeff()-X,4",0.0,0.00029483201174379796,0.00026834733673177153,0.0003816355671794277,0.00010583251925706793,0.0003756044822647151,0.001003280070329436
"tBodyAcc-arCoeff()-Y,1",0.0,8.92937553174428e-05,0.0001809896803287589,0.0005496058224364949,0.00020262900219030375,0.00026095922542872116,0.00021119677985213548
"tBodyAcc-arCoeff()-Y,2",0.0,5.9379499583733034e-05,0.0002463911304595525,0.0003038765413845582,1.5010847071915778e-05,0.00016816236647481268,0.000122471936959728
"tBodyAcc-arCoeff()-Y,3",0.0,0.0002312156050549951,0.00017295918703706513,0.0002510587094552449,1.525724923213335e-05,9.145500187809704e-05,0.0001574583364002549
"tBodyAcc-arCoeff()-Y,4",0.0,0.00021094644300699493,0.0005934799642548523,0.00066059432120773,4.5067058348915835e-05,9.945506476114191e-05,0.00014643569199248907
"tBodyAcc-arCoeff()-Z,1",0.0,0.00015412451387148844,0.00015117006998380725,0.0005757922243961025,0.0003660838273450929,0.00018430673491822366,0.00016666991136900437
"tBodyAcc-arCoeff()-Z,2",0.0,0.00013614564620619118,0.00016688376594965813,0.0005873607384408277,3.105666359809325e-05,3.3448943254434205e-05,6.491659825987134e-05
"tBodyAcc-arCoeff()-Z,3",0.0,6.797964899456909e-05,0.00031694670978302643,0.00021345803499072148,0.0,0.000111273993223806,0.0003443609427599383
"tBodyAcc-arCoeff()-Z,4",0.0,0.00017828422541619332,0.0003595584573400911,0.00048643571422915587,6.248218796751964e-05,0.0003420072596740753,0.0003065547379139421
"tBodyAcc-correlation()-X,Y",0.0,0.013508357208946218,0.001462130660283597,0.0034582862637423484,0.0007182395207488185,0.000760170602511526,0.0024440294098135224
"tBodyAcc-correlation()-X,Z",0.0,0.00043596794096015517,0.0027101608591625134,0.0026365730373148414,0.00016749528264255978,0.0015056390035799738,0.0012246570641305482
"tBodyAcc-correlation()-Y,Z",0.0,0.00035223172928229395,0.004278691982425241,0.002310627774557814,0.011893262012050073,0.001512730531844647,0.001246407487188528
tGravityAcc-mean()-X,0.0,0.003132854586526167,0.01678694258082607,0.03291619684845295,0.052040725476245574,0.0011485803496517374,0.0007375246974298061
tGravityAcc-mean()-Y,0.0,0.0016112562393949864,0.04691533215059281,0.04150094496388483,0.05590493030054642,0.019091935425173304,0.002965523400644938
tGravityAcc-mean()-Z,0.0,0.0007955371836821988,0.02430498799749812,0.020001538311156804,0.02602351250323156,0.0022007933553816906,0.0006676078653000728
tGravityAcc-std()-X,0.0,0.005308588449319105,0.004190813737547738,0.0009113807451031129,1.5104312328284842e-05,0.0003280282512000806,9.513461186858483e-05
tGravityAcc-std()-Y,0.0,0.0021400063807704857,0.001324949571239139,0.0009447056519905815,0.00015910530929998682,0.0010350501059702532,0.0005757201365607195
tGravityAcc-std()-Z,0.0,0.0027712378355769464,0.00010473534146281841,0.00021180557318699979,5.655308311800706e-05,0.0004130925379167931,8.859343030119131e-05
tGravityAcc-mad()-X,0.0,0.006540422829586616,0.004675762689168559,0.0003269196823246826,3.2029674746167706e-05,0.00021188729201449967,0.0003687448735766828
tGravityAcc-mad()-Y,0.0,0.0028038354329708737,0.001116228867043606,0.0006915181782139303,0.0002887568150899561,0.0001921939081558205,0.0002572050119849876
tGravityAcc-mad()-Z,0.0,0.0013663401837553182,0.0001538636998163283,0.0005561390782184221,0.0001225317213552953,0.0009385231926211818,0.0001299870931188236
tGravityAcc-max()-X,0.0,0.0015047400273264103,0.02212184674646145,0.01871718244494065,0.11703372346214998,0.004522438604428778,0.001061466828669026
tGravityAcc-max()-Y,0.0,0.0007667052588570178,0.06157937902799618,0.047302689113023835,0.03398225222455164,0.017348555137457332,0.0032712494953977926
tGravityAcc-max()-Z,0.0,0.0005888243470025898,0.015280232577135743,0.009153223581623621,0.03570150952830897,0.0012148324915091126,0.0007454069689164511
tGravityAcc-min()-X,0.0,0.004642184727574097,0.012019204600247427,0.021804098322206252,0.09223386181686688,0.003800296524404106,0.0012794026200421873
tGravityAcc-min()-Y,0.0,0.0029338781305802636,0.08232174879969106,0.04293087788332421,0.06823465287001597,0.037808209949857806,0.004474483728251295
tGravityAcc-min()-Z,0.0,0.00044846070418349886,0.01428907063319413,0.005980306497902329,0.030193984472527854,0.0031602635840147515,0.0015762590241103676
tGravityAcc-sma(),0.0,0.00191880625540818,0.0038848890831397398,0.004792058263026837,0.0057844030512096845,0.0032370236074327347,0.0018373530761305768
tGravityAcc-energy()-X,0.0,0.001507992891714007,0.017073367426572603,0.026755851757652174,0.05672647176563822,0.0026687904694768314,0.000747200192749093
tGravityAcc-energy()-Y,0.0,0.004601438943405117,0.0254037153199983,0.02074612039070479,0.06082151397754901,0.01568220494985792,0.005028941994340215
tGravityAcc-energy()-Z,0.0,0.00034601305493529757,0.0073978673384119745,0.012406897021618781,0.022312576533732385,0.001114626553137222,0.0005272986367610322
tGravityAcc-iqr()-X,0.0,0.0008781838683376535,0.0001227409041385544,0.00027054508962811886,0.0019143908431544542,0.00043202139441116816,0.0002680923414977047
tGravityAcc-iqr()-Y,0.0,0.0004972268176939669,0.0005610468383972239,0.0004419918691921844,0.0007475552279163513,0.0004987185933278707,0.00036123263511340177
tGravityAcc-iqr()-Z,0.0,0.0019524629801612142,0.0002931016431197047,0.00025276886595889016,0.0006973827945565511,0.0004220117700699944,3.3451516266621855e-05
tGravityAcc-entropy()-X,0.0,0.006337920750394514,0.00011675932216653188,5.2690146640698816e-05,0.00019845863670615426,0.011690734373653085,0.000529736969612529
tGravityAcc-entropy()-Y,0.0,0.0,0.012122449084531193,0.006596534130529606,0.0011933470482906356,4.874874041711593e-06,0.0
tGravityAcc-entropy()-Z,0.0,0.0001174527909844208,0.0002828840405237371,0.00033161805814030593,0.0,1.9242999018591945e-05,3.649269675442713e-05
"tGravityAcc-arCoeff()-X,1",0.0,0.016027166043162976,0.0022280696186677256,0.0007910293896913438,0.001785649142931716,0.00404146080439271,0.0005858195224699897
"tGravityAcc-arCoeff()-X,2",0.0,0.01896145193050193,0.0005691353039609363,0.0006231279904129277,0.0005149907827738052,0.0023863092552751743,0.0005725850494957807
"tGravityAcc-arCoeff()-X,3",0.0,0.008976608424599608,0.000580512697631027,0.0007098076644576753,0.001178292591777301,0.0008109598120062641,0.0010352381049341223
"tGravityAcc-arCoeff()-X,4",0.0,0.004954845020061322,0.00044038102369505004,0.0006198585971758033,0.0002528227323785814,0.0037433367726601163,0.0009451909805714714
"tGravityAcc-arCoeff()-Y,1",0.0,0.012976794449019023,0.0023279610582400347,0.00054475144278454,0.0006862784894741419,0.02666999634396601,0.0008181729639342162
"tGravityAcc-arCoeff()-Y,2",0.0,0.008078048054162713,0.000470187889019304,0.0012688243295290208,0.00030773267514880325,0.021413766400144873,0.0022505222425896762
"tGravityAcc-arCoeff()-Y,3",0.0,0.007542181060350588,0.0010036008430015803,0.0010564832277164837,0.0006298811068259981,0.019701515056257966,0.0007677657356289102
"tGravityAcc-arCoeff()-Y,4",0.0,0.003471193123586577,0.0001278244171539611,0.0006062138982827651,4.260167552171716e-05,0.01349401034699484,0.0006536974787534106
"tGravityAcc-arCoeff()-Z,1",0.0,0.007146121639710183,0.00016569246282193494,0.0004986602267212703,0.00038520657498139135,0.020500967657631097,0.0015986982685442638
"tGravityAcc-arCoeff()-Z,2",0.0,0.005894108570560105,0.00011818061500590257,0.0007195752797345793,0.0010124103658509683,0.022905549954825615,0.0024290084415765027
"tGravityAcc-arCoeff()-Z,3",0.0,0.0021259690644833858,0.000612802823245256,0.00041092027754996506,3.485624761824109e-05,0.01659288588641587,0.001985811060178778
"tGravityAcc-arCoeff()-Z,4",0.0,0.0017653847864407108,0.0004067338928242296,0.0004448014510666378,0.00024924433943213385,0.022319763238105902,0.001192882077318113
"tGravityAcc-correlation()-X,Y",0.0,0.0001904730820021991,0.002545263995029595,0.0083502361240041,0.000312976689283988,0.00028858014439727905,0.00014729179962226353
"tGravityAcc-correlation()-X,Z",0.0,0.0001600671814868658,0.002046827277255392,0.0005451335688218405,3.071868546032118e-05,0.00026545121250049565,0.0003869208083002641
"tGravityAcc-correlation()-Y,Z",0.0,0.00026887591731756416,0.0015232332334666919,0.002140971078182523,0.013204118153692726,0.0002632052910897513,0.00011006020263655889
tBodyAccJerk-mean()-X,0.0,0.00018297906240123178,0.00010938703698965963,0.0003877098789910377,0.0,4.340839668665716e-05,3.74642746524701e-05
tBodyAccJerk-mean()-Y,0.0,0.00011330789871038808,0.00037270490881925397,0.00024369225161526852,1.0566184205865002e-05,5.4315057085001654e-05,0.0002696978065692447
tBodyAccJerk-mean()-Z,0.0,1.8263792793551772e-05,0.0006666537794421408,0.00044791078901664015,2.9134264757543833e-05,0.0001749393694772651,0.00014784778445124227
